1	29264.034000000003	29564.034000000003	(194397, 34)
2	29564.034000000003	29864.034000000003	(279060, 34)
3	29864.034000000003	30164.034000000003	(158153, 34)
4	30164.034000000003	30464.034000000003	(47004, 34)
5	30464.034000000003	30764.034000000003	(98757, 34)
6	30764.034000000003	31064.034000000003	(231743, 34)
7	31064.034000000003	31364.034000000003	(73300, 34)
8	31364.034000000003	31664.034000000003	(60056, 34)
9	31664.034000000003	31964.034000000003	(61830, 34)
10	31964.034000000003	32264.034000000003	(70886, 34)
11	32264.034000000003	32564.034000000003	(61120, 34)
12	32564.034000000003	32864.034	(66014, 34)
13	32864.034	33164.034	(65561, 34)
14	33164.034	33464.034	(60695, 34)
15	33464.034	33764.034	(56966, 34)
16	33764.034	34064.034	(61390, 34)
17	34064.034	34364.034	(182577, 34)
18	34364.034	34670.801	(138243, 34)

