1	29057.273	29357.273	(93176, 34)
2	29357.273	29657.273	(275378, 34)
3	29657.273	29957.273	(243676, 34)
4	29957.273	30257.273	(275252, 34)
5	30257.273	30557.273	(132900, 34)
6	30557.273	30857.273	(116154, 34)
7	30857.273	31157.273	(100681, 34)
8	31157.273	31457.273	(81982, 34)
9	31457.273	31757.273	(104010, 34)
10	31757.273	32057.273	(97185, 34)
11	32057.273	32357.273	(146199, 34)
12	32357.273	32657.273	(266387, 34)
13	32657.273	32957.273	(264864, 34)
14	32957.273	33257.273	(60591, 34)
15	33257.273	33557.273	(41799, 34)
16	33557.273	33857.273	(92629, 34)
17	33857.273	34157.273	(57522, 34)
18	34157.273	34466.481	(42310, 34)

