1	29657.131	29957.131	(22767, 35)
2	29957.131	30257.131	(56198, 35)
3	30257.131	30557.131	(74998, 35)
4	30557.131	30857.131	(153122, 35)
5	30857.131	31157.131	(113768, 35)
6	31157.131	31457.131	(138887, 35)
7	31457.131	31757.131	(138607, 35)
8	31757.131	32057.131	(57874, 35)
9	32057.131	32357.131	(187447, 35)
10	32357.131	32657.131	(146541, 35)
11	32657.131	32957.131	(71777, 35)
12	32957.131	33257.131	(65147, 35)
13	33257.131	33557.131	(60964, 35)
14	33557.131	33857.131	(47881, 35)
15	33857.131	34157.131	(50451, 35)
16	34157.131	34457.131	(53785, 35)
17	34457.131	34757.131	(59514, 35)
18	34757.131	35063.154	(98247, 35)

