1	29238.406000000003	29538.406000000003	(50583, 34)
2	29538.406000000003	29838.406000000003	(39301, 34)
3	29838.406000000003	30138.406000000003	(41692, 34)
4	30138.406000000003	30438.406000000003	(78975, 34)
5	30438.406000000003	30738.406000000003	(167265, 34)
6	30738.406000000003	31038.406000000003	(66190, 34)
7	31038.406000000003	31338.406000000003	(90294, 34)
8	31338.406000000003	31638.406000000003	(115217, 34)
9	31638.406000000003	31938.406000000003	(148522, 34)
10	31938.406000000003	32238.406000000003	(300533, 34)
11	32238.406000000003	32538.406000000003	(100178, 34)
12	32538.406000000003	32838.406	(103943, 34)
13	32838.406	33138.406	(98084, 34)
14	33138.406	33438.406	(101852, 34)
15	33438.406	33738.406	(107329, 34)
16	33738.406	34038.406	(153733, 34)
17	34038.406	34338.406	(198490, 34)
18	34338.406	34643.83	(315671, 34)

