1	28568.710000000006	28868.710000000006	(43071, 35)
2	28868.710000000006	29168.710000000006	(27509, 35)
3	29168.710000000006	29468.710000000006	(25868, 35)
4	29468.710000000006	29768.710000000006	(27201, 35)
5	29768.710000000006	30068.710000000006	(22452, 35)
6	30068.710000000006	30368.710000000006	(32483, 35)
7	30368.710000000006	30668.710000000006	(89834, 35)
8	30668.710000000006	30968.710000000006	(52431, 35)
9	30968.710000000006	31268.710000000006	(62787, 35)
10	31268.710000000006	31568.710000000006	(43866, 35)
11	31568.710000000006	31868.710000000006	(42813, 35)
12	31868.710000000006	32168.710000000006	(50458, 35)
13	32168.710000000006	32468.710000000006	(69077, 35)
14	32468.710000000006	32768.71000000001	(92253, 35)
15	32768.71000000001	33068.71000000001	(78446, 35)
16	33068.71000000001	33368.71000000001	(66641, 35)
17	33368.71000000001	33668.71000000001	(42212, 35)
18	33668.71000000001	33998.282	(58652, 35)

