1	29266.47	29566.47	(59684, 34)
2	29566.47	29866.47	(12799, 34)
3	29866.47	30166.47	(49234, 34)
4	30166.47	30466.47	(102477, 34)
5	30466.47	30766.47	(307764, 34)
6	30766.47	31066.47	(180003, 34)
7	31066.47	31366.47	(289346, 34)
8	31366.47	31666.47	(146621, 34)
9	31666.47	31966.47	(139439, 34)
10	31966.47	32266.47	(139372, 34)
11	32266.47	32566.47	(131676, 34)
12	32566.47	32866.47	(224126, 34)
13	32866.47	33166.47	(331129, 34)
14	33166.47	33466.47	(156061, 34)
15	33466.47	33766.47	(68270, 34)
16	33766.47	34066.47	(74996, 34)
17	34066.47	34366.47	(119499, 34)
18	34366.47	34675.829000000005	(217278, 34)

